tag,patterns,responses
greeting,Hi|Hello|How are you|Good morning|Good evening|Hey|Hi there|Greetings,Hello!|Hi there!|How can I assist you today?|Good to see you!|Hi! How can I help you?
goodbye,Bye|See you later|Goodbye|Take care|Catch you later|Farewell,Goodbye!|See you later!|Have a great day!|Take care!
order_status,Where is my order?|Order status|Track my order|Order tracking|Can you tell me the status of my order?|I want to track my order,Please provide your order number.|Can you give me your order ID?|I need your order number to check the status.
product_inquiry,Tell me about product X|What are the features of product Y?|Price of product Z|Can you give me details about product X?|I'm interested in product Y,Product X is a [description]. It costs [price].|Product Y has the following features: [features].|The price of product Z is [price].
return_policy,What is your return policy?|How can I return an item?|What are the conditions for returning a product?,Our return policy allows returns within 30 days of purchase.|You can return items within 30 days as long as they are in original condition.
shipping_info,What are the shipping options?|How long does shipping take?|Do you offer expedited shipping?,We offer standard and expedited shipping options.|Standard shipping takes 3-5 business days, and expedited shipping takes 1-2 business days.
payment_methods,What payment methods do you accept?|Can I pay with PayPal?|Do you accept credit cards?,We accept PayPal, credit cards, and debit cards.|You can pay using Visa, MasterCard, American Express, and PayPal.
discounts_offers,Are there any discounts available?|Do you have any current promotions?|Can I apply a discount code?,We have seasonal discounts and promotions. Check our website for the latest offers.|You can apply discount codes during checkout.
customer_support,How can I contact customer support?|I need help with my order|Can I speak to a representative?,You can contact our customer support at support@example.com or call us at 123-456-7890.|Our customer support is available 24/7 to assist you.
technical_issue,I'm having technical issues|The website is not working|I can't place an order,Please try refreshing the page or clearing your browser cache.|If the issue persists, contact our technical support team at techsupport@example.com.
account_help,How can I create an account?|I forgot my password|How do I reset my password?,You can create an account by clicking on the "Sign Up" button on our website.|To reset your password, click on "Forgot Password" on the login page.
order_cancellation,Can I cancel my order?|How do I cancel my order?|Is it possible to cancel my order after placing it?,You can cancel your order within 2 hours of placing it by contacting our support team.|After 2 hours, cancellation may not be possible as the order might already be processed.
refund_policy,Can I get a refund?|What is the refund process?|How long does it take to get a refund?,Refunds are processed within 5-7 business days after the return is received.|You can request a refund through our customer support.
delivery_time,How long does delivery take?|When will my order arrive?|Delivery time estimate,Delivery usually takes 3-5 business days for standard shipping.|Expedited shipping takes 1-2 business days.
bulk_orders,Do you offer discounts for bulk orders?|How can I place a bulk order?|Bulk order pricing,Yes, we offer discounts for bulk orders. Please contact sales@example.com for more information.|You can place a bulk order by contacting our sales team.
warranty_info,Is there a warranty for product X?|How long is the warranty?|Warranty terms,Product X comes with a 1-year warranty covering manufacturing defects.|Please refer to our warranty policy for detailed information.
store_location,Where are your stores located?|Store location near me|Find a store,You can find our store locations on our website under the "Store Locator" section.|Please visit our "Store Locator" page to find a store near you.
membership_benefits,What are the benefits of membership?|How do I become a member?|Membership rewards,Members receive exclusive discounts, early access to sales, and special promotions.|You can sign up for membership on our website.
order_modification,Can I change my order?|How do I modify my order?|Change order details,You can modify your order within 2 hours of placing it by contacting our support team.|After 2 hours, modifications may not be possible.
gift_cards,Do you offer gift cards?|How can I purchase a gift card?|Gift card balance,Yes, we offer gift cards. You can purchase them on our website.|To check your gift card balance, visit our gift card page.
loyalty_program,What is your loyalty program?|How do I earn points?|Redeem loyalty points,Our loyalty program allows you to earn points on every purchase.|You can redeem points for discounts on future purchases.
product_availability,Is product X in stock?|When will product Y be available?|Check stock status,You can check the availability of product X on our website.|Product Y is expected to be back in stock soon.
contact_info,What is your contact number?|How can I email you?|Customer service contact,You can contact us at 123-456-7890 or email us at support@example.com.|Our contact details are available on the "Contact Us" page.
social_media,What are your social media handles?|Follow us on social media|Social media links,You can follow us on Facebook, Twitter, and Instagram.|Our social media links are available on our website.
newsletter_signup,How do I sign up for the newsletter?|Benefits of newsletter subscription|Newsletter subscription,You can sign up for our newsletter on our website.|Subscribers receive exclusive news, updates, and promotions.
product_return,How do I return product X?|Return instructions for product Y|Return shipping,You can return product X by following the instructions on our returns page.|Please use the return shipping label provided with your order.
order_confirmation,Did my order go through?|I didn't receive an order confirmation|Order confirmation email,You should receive an order confirmation email shortly after placing your order.|If you didn't receive a confirmation, please check your spam folder or contact support.
holiday_hours,What are your holiday hours?|Are you open on holidays?|Store hours during holidays,Our holiday hours are listed on our website.|Please check our "Store Hours" page for holiday hours.
size_guide,What size should I order?|Size guide for product X|How do I know my size?,You can find our size guide on the product page.|Please refer to the size guide to choose the correct size.
order_help,I need help with my order|Order assistance|Help with placing an order,Our customer support team is here to help you with your order.|Please contact us if you need assistance with your order.
coupon_codes,Do you have any coupon codes?|How do I apply a coupon?|Current promo codes,You can apply a coupon code at checkout.|Check our website for current promotions and coupon codes.
account_deletion,How do I delete my account?|Remove my account|Delete account information,Please contact customer support to delete your account.|We can assist you with account deletion.
payment_issue,My payment didn't go through|Payment failed|Problem with payment,Please check your payment details and try again.|If the issue persists, contact our support team for assistance.
order_receipt,Can I get a copy of my receipt?|Request order receipt|Email receipt,You can request a copy of your receipt by contacting our support team.|We can email you a copy of your order receipt.
product_comparison,Compare product X and Y|Difference between product A and B|Which product is better?,Product X has the following features: [features]. Product Y has the following features: [features].|Compare the specifications on our product comparison page.
order_delay,My order is delayed|Why is my order taking so long?|Delay in delivery,We apologize for the delay. Your order is on its way.|Please check the tracking information for updates on your order.
exchange_policy,Can I exchange product X?|Exchange process|How to exchange an item,Yes, you can exchange items within 30 days of purchase.|Please follow the instructions on our exchange page.
custom_orders,Do you offer custom orders?|How can I order a custom product?|Custom order details,Yes, we offer custom orders. Please contact our sales team for more information.|You can place a custom order by filling out the form on our website.
product_warranty,Does product X come with a warranty?|Warranty coverage|Warranty details,Product X comes with a 1-year warranty covering manufacturing defects.|Please refer to our warranty page for more details.
order_verification,Verify my order|Order verification|Check order status,Please provide your order number for verification.|We need your order ID to verify the status.
gift_wrapping,Do you offer gift wrapping?|How can I add gift wrapping to my order?|Gift wrapping service,Yes, we offer gift wrapping services. You can add it during checkout.|Gift wrapping options are available on the product page.
customer_feedback,How can I leave feedback?|Customer review|Rate your experience,You can leave feedback on our website under the "Reviews" section.|We appreciate your feedback and suggestions.
order_issue,There is an issue with my order|Problem with my order|Order arrived damaged,We apologize for the inconvenience. Please contact our support team to resolve the issue.|We will assist you with any problems related to your order.
subscription_service,Do you offer subscription services?|Subscribe to product X|Subscription details,Yes, we offer subscription services for select products.|You can subscribe on the product page to receive regular deliveries.
price_match,Do you offer price matching?|Price match policy|Match competitor's price,Yes, we offer price matching. Please provide proof of the competitor's price.|Our price match policy is available on our website.
faq,Where can I find the FAQ?|Frequently Asked Questions|Common questions,You can find the FAQ section on our website.|Please visit our FAQ page for answers to common questions.
order_tracking,How do I track my order?|Order tracking link|Track shipment,You can track your order using the link provided in your confirmation email.|Enter your order ID on our tracking page to check the status.
